rok, leden, únor, březen, duben, květen, červen, červenec, srpen, září, říjen, listopad, prosinec
2000,"2,1","2,2","2,3","2,4","2,5","2,6","2,9","3,1","3,3","3,6","3,8","3,9"
2001,"4,0","4,0","4,0","4,1","4,2","4,3","4,5","4,6","4,7","4,7","4,7","4,7"
2002,"4,6","4,6","4,6","4,5","4,3","3,9","3,5","3,1","2,7","2,4","2,1","1,8"
2003,"1,5","1,1","0,8","0,5","0,3","0,2","0,2","0,1","0,0","0,0","0,1","0,1"
2004,"0,3","0,5","0,8","1,0","1,2","1,4","1,7","2,0","2,2","2,5","2,7","2,8"
2005,"2,8","2,7","2,6","2,6","2,5","2,4","2,2","2,1","2,0","2,0","1,9","1,9"
2006,"2,0","2,1","2,2","2,3","2,4","2,5","2,6","2,7","2,8","2,7","2,6","2,5"
2007,"2,4","2,3","2,2","2,2","2,1","2,1","2,1","2,0","2,0","2,2","2,5","2,8"
2008,"3,4","3,9","4,3","4,7","5,0","5,4","5,8","6,1","6,4","6,6","6,5","6,3"
2009,"5,9","5,4","5,0","4,6","4,1","3,7","3,1","2,6","2,1","1,6","1,3","1,0"
2010,"0,9","0,8","0,7","0,6","0,6","0,6","0,8","0,9","1,1","1,2","1,4","1,5"
2011,"1,6","1,7","1,7","1,8","1,8","1,9","1,9","1,9","1,8","1,9","1,9","1,9"
2012,"2,1","2,2","2,4","2,6","2,7","2,8","2,9","3,1","3,2","3,3","3,3","3,3"
2013,"3,2","3,0","2,8","2,7","2,5","2,3","2,2","2,0","1,8","1,6","1,5","1,4"
2014,"1,3","1,1","1,0","0,9","0,8","0,7","0,6","0,5","0,5","0,5","0,5","0,4"
2015,"0,3","0,3","0,3","0,4","0,4","0,5","0,5","0,4","0,4","0,4","0,3","0,3"
2016,"0,4","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,4","0,5","0,7"
2017,"0,8","1,0","1,2","1,3","1,5","1,7","1,8","2,0","2,2","2,3","2,4","2,5"
2018,"2,4","2,4","2,3","2,3","2,3","2,3","2,3","2,3","2,3","2,2","2,2","2,1"
2019,"2,2","2,3","2,4","2,4","2,5","2,5","2,6","2,6","2,6","2,7","2,7","2,8"
2020,"2,9","3,0","3,1","3,1","3,1","3,1","3,2","3,2","3,3","3,3","3,2","3,2"
2021,"3,0","2,9","2,8","2,8","2,8","2,8","2,8","2,8","3,0","3,2","3,5","3,8"
2022,"4,5","5,2","6,1","7,0","8,1","9,4","10,6","11,7","12,7"
