rok,měsíc,procenta
2000,leden,2.1
2000,únor,2.2
2000,březen,2.3
2000,duben,2.4
2000,květen,2.5
2000,červen,2.6
2000,červenec,2.9
2000,srpen,3.1
2000,září,3.3
2000,říjen,3.6
2000,listopad,3.8
2000,prosinec,3.9
2001,leden,4
2001,únor,4
2001,březen,4
2001,duben,4.1
2001,květen,4.2
2001,červen,4.3
2001,červenec,4.5
2001,srpen,4.6
2001,září,4.7
2001,říjen,4.7
2001,listopad,4.7
2001,prosinec,4.7 
2002,leden,4.6
2002,únor,4.6
2002,březen,4.6
2002,duben,4.5
2002,květen,4.3
2002,červen,3.9
2002,červenec,3.5
2002,srpen,3.1
2002,září,2.7
2002,říjen,2.4
2002,listopad,2.1
2002,prosinec,1.8
2003,leden,1.5
2003,únor,1.1
2003,březen,0.8
2003,duben,0.5
2003,květen,0.3
2003,červen,0.2
2003,červenec,0.2
2003,srpen,0.1
2003,září,0
2003,říjen,0
2003,listopad,0.1
2003,prosinec,0.1
2004,leden,0.3
2004,únor,0.5
2004,březen,0.8
2004,duben,1
2004,květen,1.2
2004,červen,1.4
2004,červenec,1.7
2004,srpen,2
2004,září,2.2
2004,říjen,2.5
2004,listopad,2.7
2004,prosinec,2.8
2005,leden,2.8
2005,únor,2.7
2005,březen,2.6
2005,duben,2.6
2005,květen,2.5
2005,červen,2.4
2005,červenec,2.2
2005,srpen,2.1
2005,září,2
2005,říjen,2
2005,listopad,1.9
2005,prosinec,1.9
2006,leden,2
2006,únor,2.1
2006,březen,2.2
2006,duben,2.3
2006,květen,2.4
2006,červen,2.5
2006,červenec,2.6
2006,srpen,2.7
2006,září,2.8
2006,říjen,2.7
2006,listopad,2.6
2006,prosinec,2.5
2007,leden,2.4
2007,únor,2.3
2007,březen,2.2
2007,duben,2.2
2007,květen,2.1
2007,červen,2.1
2007,červenec,2.1
2007,srpen,2
2007,září,2
2007,říjen,2.2
2007,listopad,2.5
2007,prosinec,2.8
2008,leden,3.4
2008,únor,3.9
2008,březen,4.3
2008,duben,4.7
2008,květen,5
2008,červen,5.4
2008,červenec,5.8
2008,srpen,6.1
2008,září,6.4
2008,říjen,6.6
2008,listopad,6.5
2008,prosinec,6.3
2009,leden,5.9
2009,únor,5.4
2009,březen,5
2009,duben,4.6
2009,květen,4.1
2009,červen,3.7
2009,červenec,3.1
2009,srpen,2.6
2009,září,2.1
2009,říjen,1.6
2009,listopad,1.3
2009,prosinec,1
2010,leden,0.9
2010,únor,0.8
2010,březen,0.7
2010,duben,0.6
2010,květen,0.6
2010,červen,0.6
2010,červenec,0.8
2010,srpen,0.9
2010,září,1.1
2010,říjen,1.2
2010,listopad,1.4
2010,prosinec,1.5
2011,leden,1.6
2011,únor,1.7
2011,březen,1.7
2011,duben,1.8
2011,květen,1.8
2011,červen,1.9
2011,červenec,1.9
2011,srpen,1.9
2011,září,1.8
2011,říjen,1.9
2011,listopad,1.9
2011,prosinec,1.9
2012,leden,2.1
2012,únor,2.2
2012,březen,2.4
2012,duben,2.6
2012,květen,2.7
2012,červen,2.8
2012,červenec,2.9
2012,srpen,3.1
2012,září,3.2
2012,říjen,3.3
2012,listopad,3.3
2012,prosinec,3.3
2013,leden,3.2
2013,únor,3
2013,březen,2.8
2013,duben,2.7
2013,květen,2.5
2013,červen,2.3
2013,červenec,2.2
2013,srpen,2
2013,září,1.8
2013,říjen,1.6
2013,listopad,1.5
2013,prosinec,1.4
2014,leden,1.3
2014,únor,1.1
2014,březen,1
2014,duben,0.9
2014,květen,0.8
2014,červen,0.7
2014,červenec,0.6
2014,srpen,0.5
2014,září,0.5
2014,říjen,0.5
2014,listopad,0.5
2014,prosinec,0.4
2015,leden,0.3
2015,únor,0.3
2015,březen,0.3
2015,duben,0.4
2015,květen,0.4
2015,červen,0.5
2015,červenec,0.5
2015,srpen,0.4
2015,září,0.4
2015,říjen,0.4
2015,listopad,0.3
2015,prosinec,0.3
2016,leden,0.4
2016,únor,0.4
2016,březen,0.4
2016,duben,0.4
2016,květen,0.4
2016,červen,0.3
2016,červenec,0.3
2016,srpen,0.3
2016,září,0.3
2016,říjen,0.4
2016,listopad,0.5
2016,prosinec,0.7
2017,leden,0.8
2017,únor,1
2017,březen,1.2
2017,duben,1.3
2017,květen,1.5
2017,červen,1.7
2017,červenec,1.8
2017,srpen,2
2017,září,2.2
2017,říjen,2.3
2017,listopad,2.4
2017,prosinec,2.5
2018,leden,2.4
2018,únor,2.4
2018,březen,2.3
2018,duben,2.3
2018,květen,2.3
2018,červen,2.3
2018,červenec,2.3
2018,srpen,2.3
2018,září,2.3
2018,říjen,2.2
2018,listopad,2.2
2018,prosinec,2.1
2019,leden,2.2
2019,únor,2.3
2019,březen,2.4
2019,duben,2.4
2019,květen,2.5
2019,červen,2.5
2019,červenec,2.6
2019,srpen,2.6
2019,září,2.6
2019,říjen,2.7
2019,listopad,2.7
2019,prosinec,2.8
2020,leden,2.9
